rpm_cmd,rpm_meas,T_mean_N,T_std_mN,n,T_model_N,residual_mN
1200,1200.0,0.275862,3.6564,1496,0.185617,90.2451
1500,1499.2,0.366308,3.4118,1504,0.289727,76.5810
2000,1999.7,0.567739,22.0564,1507,0.515499,52.2399
2500,2500.9,0.841624,15.9652,1504,0.806278,35.3464
3000,2999.0,1.154566,9.8276,1505,1.159369,-4.8025
3500,3500.7,1.561245,10.9684,1506,1.579800,-18.5549
4000,3999.9,2.016625,11.2704,1504,2.062404,-45.7797
4500,4499.5,2.517399,15.4716,1506,2.609849,-92.4502
5000,4999.6,3.159606,21.9039,1505,3.222137,-62.5311
5500,5500.2,3.835039,32.8388,1503,3.899819,-64.7793
6000,6000.0,4.542305,32.3422,1479,4.640730,-98.4251
6500,6500.0,5.471796,48.4736,1506,5.446356,25.4395
7000,6999.6,6.408135,56.6116,1479,6.315728,92.4065
7500,7500.7,7.316586,80.6398,1506,7.252481,64.1049
